ImageName,Acceleration_X,Acceleration_Y,Acceleration_Z,Longitude,Latitude,Gyroscope_Y,Gyroscope_X,Gyroscope_Z
1683514887195118302.png,0.12200851,10.331277,0.80291945,116.82157880901578,39.94000310904848,-0.0347146 ,-0.19643681 ,0.66399306
1683514887275874552.png,1.4312154,10.06489,0.39919,116.82157880901578,39.94000310904848,0.28216738 ,0.121300384 ,-0.40954152
1683514887353962052.png,-0.46446553,9.385625,-0.04276044,116.82157880901578,39.94000310904848,0.13112658 ,-0.049113564 ,-0.2163161
1683514887412168302.png,-0.5920286,9.79534,0.1903869,116.82157880901578,39.94000310904848,0.012514011 ,-0.050282937 ,-0.030368729
1683514887481001636.png,0.47534478,10.491278,0.6018831,116.82157880901578,39.94000310904848,-0.12534955 ,-0.029775318 ,0.051173054
1683514887561192781.png,0.2609584,10.015654,1.1864992,116.82157880901578,39.94000310904848,-0.070092425 ,-0.105976395 ,0.19174187
1683514887621450073.png,0.6580032,9.649705,0.4511059,116.82147278919183,39.94003692492867,-0.18685494 ,0.020891592 ,-0.02841396
1683514887697188094.png,0.5164101,10.163598,0.6112397,116.82147278919183,39.94003692492867,-0.20509364 ,0.053581607 ,-0.06633996
1683514887754344344.png,0.19277154,9.890304,1.1413447,116.82147278919183,39.94003692492867,0.038571775 ,0.067631505 ,-0.076183625
1683514887825851115.png,0.23108834,9.910923,0.73614997,116.82147278919183,39.94003692492867,-0.08583529 ,0.04160865 ,0.010471975
1683514887895683406.png,0.41041404,9.546258,0.71276337,116.82147278919183,39.94003692492867,-0.05263913 ,0.013159783 ,-0.08049458
1683514887969764136.png,-0.13888285,9.66656,0.7186819,116.82147278919183,39.94003692492867,0.01160644 ,0.05422738 ,-0.1351583
1683514888047698511.png,0.24444798,9.966449,0.80374306,116.82147278919183,39.94003692492867,-0.0015358897 ,-0.008412487 ,-0.0014660766
1683514888117740698.png,0.33592564,9.902984,0.7668915,116.82147278919183,39.94003692492867,-0.026651178 ,-0.094369955 ,-0.053878315
1683514888188447990.png,-0.18083884,10.019735,0.80993927,116.82147278919183,39.94003692492867,5.2359875E-4 ,0.023143066 ,-0.043319073
1683514888257075594.png,-0.09904333,9.933274,0.75848305,116.82147278919183,39.94003692492867,-0.0011693706 ,-0.017749999 ,0.034627333
1683514888332534969.png,0.20063409,9.960491,0.8207802,116.82147278919183,39.94003692492867,-8.726646E-4 ,0.0042062434 ,-0.0074176495
1683514888403619865.png,0.14783716,9.9532995,0.79923236,116.82147278919183,39.94003692492867,4.5378561E-4 ,0.0050963615 ,-8.0285146E-4
1683514888462854761.png,0.111272916,9.865432,0.7720438,116.82147278919183,39.94003692492867,-7.15585E-4 ,7.6794485E-4 ,-0.0011170107
1683514888525530281.png,0.10654197,9.974378,0.79322773,116.82147278919183,39.94003692492867,-6.981317E-4 ,0.0073303827 ,-6.806784E-4
1683514888600286531.png,0.11888648,9.988677,0.8197746,116.82147278919183,39.94003692492867,-8.5521134E-4 ,-7.5049157E-4 ,9.424778E-4
1683514888666262573.png,0.13079044,9.887181,0.7728962,116.82147278919183,39.94003692492867,-4.886922E-4 ,-4.5378561E-4 ,-3.4906585E-5
1683514888733467781.png,0.13379756,9.924167,0.80201924,116.82147278919183,39.94003692492867,-7.853982E-4 ,-5.9341197E-4 ,-0.0011868239
1683514888806757365.png,0.10254844,9.928104,0.8142488,116.82147278919183,39.94003692492867,-7.5049157E-4 ,-7.853982E-4 ,-1.2217305E-4
1683514888879966740.png,0.12993811,9.911727,0.8001805,116.82155636235828,39.93957414579913,2.7925268E-4 ,-5.061455E-4 ,4.5378561E-4
1683514888939836531.png,0.117833026,9.961028,0.81283146,116.82155636235828,39.93957414579913,-6.1086525E-4 ,3.4906584E-4 ,-6.283185E-4
1683514889003604240.png,0.12243947,9.9263115,0.80878043,116.82155636235828,39.93957414579913,-0.001134464 ,-4.1887903E-4 ,8.726646E-5
1683514889074065177.png,0.15945382,9.902964,0.7943865,116.82155636235828,39.93957414579913,4.1887903E-4 ,4.5378561E-4 ,-8.726646E-5
1683514889134761010.png,0.09109458,9.958865,0.8128697,116.82155636235828,39.93957414579913,1.2217305E-4 ,0.0041538836 ,-0.0029146997
1683514889204087052.png,0.10660901,9.92115,0.8283363,116.82155636235828,39.93957414579913,-5.2359875E-4 ,-0.007923795 ,0.023788838
1683514889276201115.png,-0.0027102362,9.868736,0.78983754,116.82155636235828,39.93957414579913,2.0943952E-4 ,0.040893063 ,-0.014765485
1683514889355306844.png,-0.5648209,10.1818695,0.4784764,116.82155636235828,39.93957414579913,-0.04733333 ,0.52682763 ,0.41650537
1683514889417524552.png,0.39124128,10.011125,0.75629956,116.82155636235828,39.93957414579913,0.0094945915 ,-0.020158553 ,-0.055134952
1683514889485860490.png,0.8047486,10.183765,0.85644424,116.82155636235828,39.93957414579913,0.12618731 ,-0.24364796 ,-0.2239781
1683514889549123510.png,-0.43733445,9.853165,0.6649464,116.82155636235828,39.93957414579913,0.2036101 ,-0.17882644 ,-0.08578293
1683514889616515698.png,0.24721567,9.940658,0.58704865,116.82155636235828,39.93957414579913,0.061453044 ,-0.048677232 ,-0.0042935098
1683514889680303198.png,-0.17067784,9.879434,0.5650603,116.82155636235828,39.93957414579913,0.0051661744 ,-0.059934605 ,-0.053459436
1683514889751831323.png,0.10704954,9.9893465,0.5626469,116.82155636235828,39.93957414579913,-5.410521E-4 ,1.7453292E-4 ,-0.005026548
1683514889840658927.png,0.05130295,9.945408,0.549996,116.82155685701873,39.939715412065276,0.001553343 ,0.0057072267 ,-0.0034732053
1683514889903714135.png,-0.05754703,9.968183,0.5677514,116.82155685701873,39.939715412065276,-4.886922E-4 ,0.007819075 ,-0.010332349
1683514889970491219.png,0.059270855,9.949498,0.56668836,116.82155685701873,39.939715412065276,2.6179937E-4 ,0.00143117 ,5.9341197E-4
1683514890034202156.png,0.14090355,9.932431,0.5513176,116.82155685701873,39.939715412065276,6.981317E-5 ,0.0070685833 ,0.008691739
